company,tier,primary_source,valuation_b_latest,valuation_usd,funding_original_usd,funding_audited_usd,funding_audit_flag,industry_raw,industry_group,country,continent,city,founded_year,date_joined_unicorn,unicorn_year,era,years_to_unicorn,years_to_unicorn_flag,outcome,investors,investor_count,accelerator,in_yc,in_techstars,in_500global,valuation_asof,exit_date,exit_reason,exit_valuation_b,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status_asof,batch,batch_year,team_size,funding_stage,date_joined_parsed,is_unicorn_history,_ingested_at,_source_file,select_investor_count,_flag_long_path,_flag_missing_valuation,_flag_invalid_continent
SpaceX,unicorn_exited,Wikipedia former unicorns (CC BY-SA),1250.0,1250000000000.0,7000000000.0,7000000000.0,ok_or_missing,Other,Other / Unknown,United States,North America,,2002.0,,,Unknown,,,ipo,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",,,False,False,False,February 2026 ( 2026-02 ),June 2026 ( 2026-06 ),IPO,1770.0,7000000000.0,,,,,,,,,,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,0,False,False,False
Anthropic,unicorn_current,CB Insights unicorn list (2026-07),965.0,965000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,,2/3/2023,2023.0,Post-2021,,,operating,Google,1.0,,False,False,False,2026-07,,,,,,,,,,,,,2023-02-03,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,1,False,False,False
OpenAI,unicorn_current,CB Insights unicorn list (2026-07),840.0,840000000000.0,1000000000.0,1000000000.0,ok_or_missing,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2015.0,7/22/2019,2019.0,Pre-2021,4.0,,operating,"Khosla Ventures, Thrive Capital, Sequoia Capital",3.0,,False,False,False,2026-07,,,,1000000000.0,,,,,,,,,2019-07-22,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,3,False,False,False
ByteDance,unicorn_current,CB Insights unicorn list (2026-07),480.0,480000000000.0,8000000000.0,8000000000.0,ok_or_missing,Media & Entertainment,AI & Data,China,Asia,Beijing,2012.0,4/7/2017,2017.0,Pre-2021,5.0,,operating,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group",4.0,,False,False,False,2026-07,,,,8000000000.0,,,,,,,,,2017-04-07,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,4,False,False,False
Stripe,unicorn_current,CB Insights unicorn list (2026-07),159.0,159000000000.0,2000000000.0,2000000000.0,ok_or_missing,Financial Services,Fintech,United States,North America,San Francisco,2010.0,1/23/2014,2014.0,Pre-2021,4.0,,operating,"Khosla Ventures, LowercaseCapital, capitalG",3.0,,True,False,True,2026-07,,,,2000000000.0,,,,,,,,,2014-01-23,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,3,False,False,False
Databricks,unicorn_current,CB Insights unicorn list (2026-07),100.0,100000000000.0,3000000000.0,3000000000.0,ok_or_missing,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2013.0,2/5/2019,2019.0,Pre-2021,6.0,,operating,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",3.0,,False,False,False,2026-07,,,,3000000000.0,,,,,,,,,2019-02-05,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,3,False,False,False
VAST Data,unicorn_current,CB Insights unicorn list (2026-07),80.0,80000000000.0,263000000000.0,263000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,New York,2016.0,4/16/2020,2020.0,Pre-2021,4.0,,operating,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",3.0,,False,False,False,2026-07,,,,263000000000.0,,,,,,,,,2020-04-16,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,3,False,False,False
Revolut,unicorn_current,CB Insights unicorn list (2026-07),75.0,75000000000.0,2000000000.0,2000000000.0,ok_or_missing,Financial Services,Fintech,United Kingdom,Europe,London,2015.0,4/26/2018,2018.0,Pre-2021,3.0,,operating,"Index Ventures, DST Global, Ribbit Capital",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2018-04-26,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,3,False,False,False
Uber,unicorn_exited,Wikipedia former unicorns (CC BY-SA),72.0,72000000000.0,,,missing_funding,,Other / Unknown,United States,North America,,,,,Unknown,,,ipo,,,,False,False,False,August 2018,May 2019,IPO,82.4,,,,,,,,,,,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,0,False,False,False
SHEIN,unicorn_current,CB Insights unicorn list (2026-07),66.0,66000000000.0,2000000000.0,2000000000.0,ok_or_missing,Consumer & Retail,AI & Data,Singapore,Asia,Singapore,2008.0,7/3/2018,2018.0,Pre-2021,10.0,,operating,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2018-07-03,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,3,False,False,False
DiDi,unicorn_exited,Wikipedia former unicorns (CC BY-SA),62.0,62000000000.0,,,missing_funding,,Other / Unknown,China,Asia,,,,,Unknown,,,ipo,,,,False,False,False,July 2019,June 2021,IPO,73.0,,,,,,,,,,,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,0,False,False,False
Facebook,unicorn_exited,Wikipedia former unicorns (CC BY-SA),50.0,50000000000.0,,,missing_funding,,Other / Unknown,United States,North America,,,,,Unknown,,,ipo,,,,False,False,False,January 2011,May 2012,IPO,104.0,,,,,,,,,,,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,0,False,False,False
DeepSeek,unicorn_current,CB Insights unicorn list (2026-07),50.0,50000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,China,Asia,Hangzhou,,6/16/2026,2026.0,Post-2021,,,operating,"Alibaba Group, CATL, Guozhitou Private Equity Fund Management",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2026-06-16,1,2026-07-30T01:54:37.917116+00:00,audited_startup_master.csv,3,False,False,False
